Package_Name,Total_Entries,Unique_C-COMM,Python_Related_Process,State_Transition,Local_IP_Address_Access,Remote_IP_Address_Access,Local_Port_Access,Remote_Port_Access,Level
absl-py,437,10,185,"{'CLOSE -> ->': 90, 'SYN_SENT -> ->': 89, 'ESTABLISHED -> ->': 86, 'FIN_WAIT1 -> ->': 83, 'FIN_WAIT2 -> ->': 81, 'CLOSE_WAIT -> ->': 3, 'LAST_ACK -> ->': 3, 'CLOSING -> ->': 2}",1,9,91,2,0
absplit,1021,4,343,"{'SYN_SENT -> ->': 208, 'FIN_WAIT1 -> ->': 196, 'FIN_WAIT2 -> ->': 186, 'CLOSE -> ->': 178, 'ESTABLISHED -> ->': 176, '443 -> CLOSE': 30, '443 -> ESTABLISHED': 27, 'CLOSING -> ->': 9, 'CLOSE_WAIT -> ->': 6, 'LAST_ACK -> ->': 4, '443 -> CLOSE_WAIT': 1}",2,60,212,20,0
Acquisition,5124,24,352,"{'SYN_SENT -> ->': 1058, 'FIN_WAIT1 -> ->': 910, '443 -> CLOSE': 816, '443 -> ESTABLISHED': 738, 'FIN_WAIT2 -> ->': 586, 'ESTABLISHED -> ->': 319, 'CLOSE -> ->': 242, 'CLOSING -> ->': 179, 'LAST_ACK -> ->': 129, '443 -> CLOSE_WAIT': 78, 'CLOSE_WAIT -> ->': 52, '80 -> CLOSE': 5, '80 -> ESTABLISHED': 5, '443 -> SYN_SENT': 5, '80 -> CLOSING': 1, '443 -> FIN_WAIT1': 1}",4,981,1036,153,0
Acqusition-4.4.2.tar.gz,1674,8,524,"{'SYN_SENT -> ->': 347, 'FIN_WAIT1 -> ->': 318, 'FIN_WAIT2 -> ->': 300, 'CLOSE -> ->': 270, 'ESTABLISHED -> ->': 270, '443 -> CLOSE': 73, '443 -> ESTABLISHED': 55, 'CLOSING -> ->': 18, 'CLOSE_WAIT -> ->': 8, 'LAST_ACK -> ->': 6, '80 -> CLOSE': 4, '80 -> ESTABLISHED': 4, '443 -> FIN_WAIT1': 1}",2,111,350,35,1
actionai,503,6,164,"{'SYN_SENT -> ->': 99, 'FIN_WAIT1 -> ->': 95, 'FIN_WAIT2 -> ->': 92, 'ESTABLISHED -> ->': 89, 'CLOSE -> ->': 86, '443 -> ESTABLISHED': 14, '443 -> CLOSE': 14, '443 -> CLOSE_WAIT': 5, 'CLOSE_WAIT -> ->': 3, 'LAST_ACK -> ->': 3, 'CLOSING -> ->': 3}",2,43,108,19,0
activedevbadge-0.39.tar.gz,1165,5,413,"{'FIN_WAIT1 -> ->': 232, 'SYN_SENT -> ->': 228, 'FIN_WAIT2 -> ->': 224, 'ESTABLISHED -> ->': 211, 'CLOSE -> ->': 210, '443 -> ESTABLISHED': 23, '443 -> CLOSE': 16, 'CLOSING -> ->': 8, 'CLOSE_WAIT -> ->': 4, 'LAST_ACK -> ->': 4, '80 -> ESTABLISHED': 3, '80 -> CLOSE': 2}",2,60,239,22,1
activereader,652,5,188,"{'SYN_SENT -> ->': 131, 'FIN_WAIT1 -> ->': 122, 'FIN_WAIT2 -> ->': 112, 'ESTABLISHED -> ->': 101, 'CLOSE -> ->': 99, '443 -> CLOSE': 31, '443 -> ESTABLISHED': 28, 'CLOSING -> ->': 10, 'CLOSE_WAIT -> ->': 6, 'LAST_ACK -> ->': 6, '80 -> CLOSE': 2, '80 -> ESTABLISHED': 2, '443 -> FIN_WAIT1': 1, '443 -> CLOSE_WAIT': 1}",2,60,139,22,0
adafruit_imageload-1.0.0.tar.gz,1383,7,456,"{'SYN_SENT -> ->': 276, 'FIN_WAIT1 -> ->': 271, 'FIN_WAIT2 -> ->': 260, 'CLOSE -> ->': 235, 'ESTABLISHED -> ->': 234, '443 -> ESTABLISHED': 40, '443 -> CLOSE': 37, 'CLOSING -> ->': 11, 'CLOSE_WAIT -> ->': 5, 'LAST_ACK -> ->': 5, '80 -> CLOSE': 4, '80 -> ESTABLISHED': 4, '443 -> FIN_WAIT1': 1}",2,85,281,25,1
Adafruit_seesaw,581,5,154,"{'SYN_SENT -> ->': 121, 'FIN_WAIT1 -> ->': 105, 'FIN_WAIT2 -> ->': 95, 'ESTABLISHED -> ->': 84, 'CLOSE -> ->': 81, '443 -> CLOSE': 38, '443 -> ESTABLISHED': 29, 'CLOSING -> ->': 10, 'CLOSE_WAIT -> ->': 6, 'LAST_ACK -> ->': 6, '80 -> CLOSE': 2, '80 -> ESTABLISHED': 2, '443 -> CLOSE_WAIT': 1, '443 -> FIN_WAIT1': 1}",2,66,134,27,0
adafruit-io,3536,22,276,"{'SYN_SENT -> ->': 724, 'FIN_WAIT1 -> ->': 640, '443 -> CLOSE': 533, '443 -> ESTABLISHED': 499, 'FIN_WAIT2 -> ->': 401, 'ESTABLISHED -> ->': 226, 'CLOSE -> ->': 194, 'CLOSING -> ->': 163, 'LAST_ACK -> ->': 72, '443 -> CLOSE_WAIT': 39, 'CLOSE_WAIT -> ->': 34, '443 -> SYN_SENT': 5, '80 -> CLOSE': 2, '80 -> ESTABLISHED': 2, '80 -> CLOSING': 1, '443 -> FIN_WAIT1': 1}",4,683,724,123,0
adal,362,13,127,"{'CLOSE -> ->': 81, 'SYN_SENT -> ->': 79, 'ESTABLISHED -> ->': 75, 'FIN_WAIT1 -> ->': 60, 'FIN_WAIT2 -> ->': 50, 'CLOSE_WAIT -> ->': 9, 'LAST_ACK -> ->': 6, 'CLOSING -> ->': 2}",1,18,83,2,0
adc,3462,20,270,"{'SYN_SENT -> ->': 707, 'FIN_WAIT1 -> ->': 627, '443 -> CLOSE': 530, '443 -> ESTABLISHED': 495, 'FIN_WAIT2 -> ->': 393, 'ESTABLISHED -> ->': 216, 'CLOSE -> ->': 180, 'CLOSING -> ->': 159, 'LAST_ACK -> ->': 72, '443 -> CLOSE_WAIT': 39, 'CLOSE_WAIT -> ->': 33, '443 -> SYN_SENT': 5, '80 -> CLOSE': 2, '80 -> ESTABLISHED': 2, '80 -> CLOSING': 1, '443 -> FIN_WAIT1': 1}",4,675,707,123,0
adcv-1.75.tar.gz,1092,5,386,"{'SYN_SENT -> ->': 217, 'FIN_WAIT1 -> ->': 216, 'FIN_WAIT2 -> ->': 207, 'CLOSE -> ->': 196, 'ESTABLISHED -> ->': 196, '443 -> ESTABLISHED': 21, '443 -> CLOSE': 20, 'CLOSING -> ->': 9, 'CLOSE_WAIT -> ->': 3, 'LAST_ACK -> ->': 3, '80 -> CLOSE': 2, '80 -> ESTABLISHED': 2}",2,52,222,18,1
adhydra-10.12.tar.gz,1021,5,366,"{'SYN_SENT -> ->': 203, 'FIN_WAIT1 -> ->': 203, 'FIN_WAIT2 -> ->': 195, 'CLOSE -> ->': 185, 'ESTABLISHED -> ->': 185, '443 -> ESTABLISHED': 18, '443 -> CLOSE': 16, 'CLOSING -> ->': 8, 'CLOSE_WAIT -> ->': 2, 'LAST_ACK -> ->': 2, '80 -> CLOSE': 2, '80 -> ESTABLISHED': 2}",2,47,209,17,1
adhydra-4.11.tar.gz,1019,5,346,"{'SYN_SENT -> ->': 209, 'FIN_WAIT1 -> ->': 197, 'FIN_WAIT2 -> ->': 187, 'CLOSE -> ->': 176, 'ESTABLISHED -> ->': 176, '443 -> CLOSE': 32, '443 -> ESTABLISHED': 22, 'CLOSING -> ->': 10, 'CLOSE_WAIT -> ->': 3, 'LAST_ACK -> ->': 3, '80 -> CLOSE': 2, '80 -> ESTABLISHED': 2}",2,58,216,23,1
adhydra-5.44.tar.gz,800,5,278,"{'SYN_SENT -> ->': 159, 'FIN_WAIT1 -> ->': 158, 'FIN_WAIT2 -> ->': 149, 'CLOSE -> ->': 142, 'ESTABLISHED -> ->': 142, '443 -> ESTABLISHED': 17, '443 -> CLOSE': 15, 'CLOSING -> ->': 8, 'CLOSE_WAIT -> ->': 3, 'LAST_ACK -> ->': 3, '80 -> CLOSE': 2, '80 -> ESTABLISHED': 2}",2,47,164,17,1
adlib,510,12,182,"{'ESTABLISHED -> ->': 106, 'CLOSE -> ->': 100, 'SYN_SENT -> ->': 100, 'FIN_WAIT1 -> ->': 81, 'FIN_WAIT2 -> ->': 80, 'CLOSE_WAIT -> ->': 22, 'LAST_ACK -> ->': 20, 'CLOSING -> ->': 1}",2,17,107,2,0
adm,431,7,157,"{'SYN_SENT -> ->': 86, 'FIN_WAIT1 -> ->': 84, 'FIN_WAIT2 -> ->': 81, 'ESTABLISHED -> ->': 80, 'CLOSE -> ->': 79, '443 -> ESTABLISHED': 9, '443 -> CLOSE': 7, 'CLOSING -> ->': 3, 'CLOSE_WAIT -> ->': 1, 'LAST_ACK -> ->': 1}",3,30,100,12,0
adm3-1.8.0.tar.gz,873,5,306,"{'SYN_SENT -> ->': 175, 'FIN_WAIT1 -> ->': 171, 'FIN_WAIT2 -> ->': 163, 'CLOSE -> ->': 156, 'ESTABLISHED -> ->': 156, '443 -> CLOSE': 17, '443 -> ESTABLISHED': 17, 'CLOSING -> ->': 8, 'CLOSE_WAIT -> ->': 3, 'LAST_ACK -> ->': 3, '80 -> CLOSE': 2, '80 -> ESTABLISHED': 2}",2,47,179,17,1
adm4-1.9.0.tar.gz,729,5,258,"{'SYN_SENT -> ->': 145, 'FIN_WAIT1 -> ->': 144, 'FIN_WAIT2 -> ->': 137, 'CLOSE -> ->': 131, 'ESTABLISHED -> ->': 131, '443 -> CLOSE': 15, '443 -> ESTABLISHED': 13, 'CLOSING -> ->': 7, 'CLOSE_WAIT -> ->': 2, '80 -> ESTABLISHED': 2, 'LAST_ACK -> ->': 2}",2,43,155,18,1
admcheck-0.0.9.tar.gz,655,5,240,"{'FIN_WAIT1 -> ->': 133, 'FIN_WAIT2 -> ->': 128, 'SYN_SENT -> ->': 125, 'ESTABLISHED -> ->': 124, 'CLOSE -> ->': 120, '443 -> ESTABLISHED': 9, 'CLOSING -> ->': 5, '443 -> CLOSE': 5, 'CLOSE_WAIT -> ->': 2, '80 -> ESTABLISHED': 2, 'LAST_ACK -> ->': 2}",2,34,139,13,1
