Package_Name,Total_Paths,Total_Error,Total_ File_Descriptor,Python_Related_Keywords,Install_Package_Keywords,Root_DIR_Installation,Temporary_DIR_Installation,Home_DIR_Installation,User_Access,Sys_Access,Etc_DIR_Installation,Other_DIR_Installation,Level
2022-requests-3.0.0.tar.gz,12285,12285,21,2061,3194,4,224,1350,931,1211,198,8367,1
282828282828282828-0.0.0.tar.gz,3953,3953,29,597,782,2,66,379,522,1203,120,1661,1
3m,4169,4169,23,253,2478,0,63,153,321,67,105,3460,0
3m-promo-link-gen-1.0.tar.gz,13553,13553,22,2980,4483,501,31,1635,1534,1226,293,8333,1
3-py,6027,6027,16,2618,1073,4,228,1563,1178,1211,134,1709,0
3web.py-1.0.0.tar.gz,4798,4798,25,1345,1979,2,105,844,731,604,85,2427,1
3web-1.0.0.tar.gz,5142,5142,25,1481,985,4,106,955,887,1209,127,1854,1
4123-1-py3-none-any.tar.gz,7798,7798,25,3966,3430,501,35,2760,1137,1217,226,1922,1
5345345345345345,28836,28836,24,1812,5403,497,28,604,1405,981,579,24742,0
90456984689490856-0-py3-none-any.tar.gz,7697,7697,19,3896,3378,501,31,2702,1123,1204,229,1907,1
a1rn-0.1.4.tar.gz,37563,37563,24,1122,2638,0,71,705,744,1230,157,34656,1
aadhaar,24784,24784,31,1395,4706,0,85,785,813,1312,276,21513,0
AadhaarCrypt-1.0.tar.gz,4683,4683,25,1291,696,0,110,806,546,1210,114,1897,1
aaiohttp-0.1.tar.gz,27567,27567,35,6386,7303,1287,120,3382,2264,82,486,19946,1
aasyncio-1.0.0.tar.gz,5816,5816,21,2238,2023,497,47,982,969,1202,189,1930,1
absl-py,959,959,14,568,614,0,2,520,254,48,40,95,0
absplit,20262,20262,50,2008,6727,503,42,731,2160,840,667,15319,0
Acquisition,5307,5307,16,2215,1887,0,57,2098,383,1118,109,1542,0
Acqusition-4.4.2.tar.gz,3309,3309,20,27,269,0,5,9,156,1219,106,1814,1
actionai,60692,60692,42,3240,7502,504,191,1464,2464,1177,878,54014,0
activedevbadge-0.39.tar.gz,3094,3094,16,95,181,0,95,0,145,1200,99,1555,1
activereader,45055,45055,44,2082,5744,498,77,830,1337,102,629,41582,0
adafruit_imageload-1.0.0.tar.gz,4120,4120,16,812,714,0,52,559,375,1210,122,1802,1
Adafruit_seesaw,10850,10850,34,1915,2023,0,258,981,856,93,159,8503,0
adafruit-io,2939,2939,21,2018,1051,0,302,1310,493,104,83,647,0
adal,638,638,15,162,199,0,44,100,256,48,43,147,0
adc,1771,1771,21,968,934,0,70,843,278,96,45,439,0
adcv-1.75.tar.gz,11814,11814,23,219,2671,0,14,169,341,1211,231,9848,1
adhydra-10.12.tar.gz,17374,17374,54,3370,5656,517,18,1468,3284,1219,715,10153,1
adhydra-4.11.tar.gz,22413,22413,23,2667,5847,502,14,1353,1211,608,227,18498,1
adhydra-5.44.tar.gz,12676,12676,58,421,5387,4,15,188,1217,1217,285,9750,1
adlib,6834,6834,22,601,2707,0,274,169,275,13,90,6013,0
adm,9093,9093,20,4937,3990,0,198,4302,626,1284,126,2557,0
adm3-1.8.0.tar.gz,9529,9529,27,1743,3159,0,302,934,771,1203,234,6085,1
adm4-1.9.0.tar.gz,5106,5106,16,1742,726,0,300,934,718,1200,115,1839,1
admcheck-0.0.9.tar.gz,10764,10764,13,6517,1231,0,562,3982,2226,1201,165,2628,1
admcheck-1.0.0.tar.gz,20682,20682,34,6930,6667,501,490,3996,3090,1210,329,11066,1
admcheck-1.1.0.tar.gz,34984,34984,20,10491,7725,501,668,6504,3945,1213,924,21229,1
admcheck-1.2.0.tar.gz,11008,11008,18,6508,1400,0,565,4053,2140,1214,174,2862,1
admcheck-1.3.0.tar.gz,11324,11324,30,5772,2992,0,788,3574,2209,1224,164,3365,1
admcheck-1.4.0.tar.gz,43258,43258,22,5945,7355,501,360,3653,2535,1116,890,34203,1
admcheck-1.5.0.tar.gz,40146,40146,21,8813,7810,501,797,5220,3559,1222,1049,27798,1
admcheck2-1.7.0.tar.gz,71261,71261,28,10101,6790,4,919,6098,4694,1135,1206,57205,1
adminbypasser,25023,25023,27,3465,5943,497,236,1725,1621,1136,556,19252,0
Adobe-cli,3702,3702,19,430,2653,0,5,307,410,70,111,2799,0
adosint-2.13.tar.gz,65060,65060,22,6592,4850,0,563,4441,2447,1020,473,56116,1
adpaypal-10.86.tar.gz,14151,14151,33,4116,5765,501,25,2704,1480,80,531,8830,1
adpaypal-6.24.tar.gz,16602,16602,22,3974,5441,4,52,3257,1268,64,495,11462,1
adpaypal-8.73.tar.gz,2680,2680,16,593,2015,0,19,377,223,29,23,2009,1
adproof-10.35.tar.gz,18544,18544,22,877,3352,0,33,412,908,46,543,16602,1
adpull-9.16.tar.gz,6376,6376,40,202,3533,4,6,5,473,20,122,5746,1
adrandom-9.25.tar.gz,28243,28243,21,5254,6634,112,70,4136,2119,85,978,20743,1
adsplit-10.60.tar.gz,4745,4745,51,30,1460,0,10,39,1786,139,40,2731,1
adstr-1.81.tar.gz,6919,6919,52,1279,3160,4,45,841,1870,144,79,3936,1
adurl-8.60.tar.gz,46055,46055,40,1916,5680,0,26,1329,1633,126,479,42462,1
adv2099m4-1.0.0-py3-none-any.tar.gz,37301,37301,13,14,2895,0,4,4,618,136,73,36466,1
adv2099m5-1.0.0-py3-none-any.tar.gz,8475,8475,25,25,2070,0,4,13,145,246,101,7966,1
adv2099m6-1.0.0-py3-none-any.tar.gz,13589,13589,28,3880,4996,501,27,2701,1291,1210,283,7576,1
adv2099m7-1.0.0-py3-none-any.tar.gz,33913,33913,28,4142,6076,501,38,2712,1730,1227,582,27123,1
advenced-requests-3.0.0.tar.gz,21783,21783,36,5824,7285,503,234,3794,2786,1214,633,12619,1
advirtual-10.61.tar.gz,4129,4129,24,788,797,2,34,516,563,1204,116,1694,1
advpruebitaa-1.0.0.tar.gz,39396,39396,26,5325,6467,501,104,3520,2114,1237,631,31289,1
advpruebitaa3-1.0.0.tar.gz,7571,7571,29,3891,3356,501,26,2707,1162,1201,201,1773,1
advpruebitaa4-1.0.0.tar.gz,53231,53231,48,6350,8568,509,123,4056,3138,1256,966,43183,1
advpruebitaa6-1.0.0.tar.gz,19789,19789,28,2068,4236,0,28,1674,834,982,486,15785,1
advpruebitaa8-1.0.0.tar.gz,42413,42413,38,738,3645,0,32,505,1203,1254,166,39253,1
advpruebitaa9-1.0.0.tar.gz,8269,8269,23,2449,4250,330,29,1549,918,621,434,4388,1
aeivasta-0.3.tar.gz,34984,34984,21,4754,6737,8,173,3683,2210,1241,930,26739,1
aenum,774,774,19,104,217,0,12,75,72,54,48,513,0
aeodata-0.4.tar.gz,56066,56066,29,2887,4916,4,188,1708,2396,1268,1074,49428,1
aeodatav04-0.4.tar.gz,10554,10554,25,783,3094,0,71,504,516,1216,220,8027,1
aes,10076,10076,28,518,3388,0,23,438,476,1128,181,7830,0
aes44-0.0.2.tar.gz,3772,3772,19,124,387,0,28,72,187,1198,126,2161,1
Aetherus,3547,3547,21,94,292,0,84,4,194,1215,120,1930,0
agdetector,32421,32421,25,2002,5536,497,394,463,1310,1085,577,28095,0
agentcoreclient,35236,35236,20,2281,3121,0,187,1617,959,81,165,32227,0
ahahjesus-0.13.tar.gz,16447,16447,42,1258,4763,8,67,583,1317,1224,411,12837,1
aidoc,1134,1134,11,882,547,0,315,375,239,62,37,106,0
aidoc-consul-5.2.0.tar.gz,40390,40390,21,1223,3039,0,72,862,718,1244,183,37311,1
aidoc-e2e-utils-5.0.3.tar.gz,31088,31088,23,1325,3155,0,73,891,758,1208,173,27985,1
aietelegram-0.3.tar.gz,24136,24136,24,3739,6482,501,110,2140,1828,1239,668,17650,1
aihottp-0.1.tar.gz,42464,42464,51,7415,8177,1287,140,4120,2874,648,636,32759,1
ai-images,3143,3143,15,52,180,0,52,2,145,1279,101,1564,0
aika-datagraph,3794,3794,45,247,1282,4,70,1,345,164,123,3087,0
Ailyboostbot-1.0.tar.gz,9835,9835,20,5880,4840,501,86,4668,1111,1201,237,2031,1
Ailynitro-1.0.tar.gz,3376,3376,18,15,261,0,5,4,163,1204,120,1880,1
ailzyn1tr0-1.0.tar.gz,13214,13214,46,2196,6067,6,30,1657,1284,617,524,9096,1
aio.http,9707,9707,22,4115,5009,0,346,3273,717,1127,123,4121,0
aio2024,10039,10039,25,803,3365,0,26,747,1520,992,126,6628,0
aio3-0.2.8.tar.gz,48791,48791,30,4884,7382,503,160,3191,2126,1241,774,40796,1
aio5-0.2.9.tar.gz,10141,10141,25,373,2971,0,120,510,324,1203,168,7816,1
aiobotocore,2230,2230,25,456,1376,3,90,173,555,51,137,1221,0
aioconsol-0.0.tar.gz,8574,8574,21,2130,3205,0,113,1794,614,745,442,4866,1
aioconsol-1.0.tar.gz,4852,4852,32,1270,836,0,113,964,557,1207,105,1906,1
aioconsol-2.0.tar.gz,5630,5630,41,477,3554,4,14,118,694,479,205,4116,1
aioconsole,11184,11184,25,2923,5392,0,117,2694,290,1181,115,6787,0
aiofiles,985,985,19,236,310,0,29,173,265,53,60,405,0
aiogram,870,870,16,453,442,0,109,309,246,62,41,103,0
aiogram-pytest,17059,17059,25,2960,5051,497,219,1571,1068,471,400,12833,0
aiogram-test,9781,9781,34,898,3535,0,26,823,1340,972,123,6497,0
aiogram-types-0.1.8.tar.gz,32569,32569,26,4116,6750,505,70,2313,2456,1234,828,25163,1
aiohappyeyeballs,44955,44955,17,836,2694,0,26,729,569,92,120,43419,0
aiohhttp-0.1.tar.gz,9182,9182,19,927,2395,0,24,726,396,16,201,7819,1
aiohtpt-0.1.tar.gz,9831,9831,20,1493,2581,0,35,1209,409,18,161,7999,1
aiohtt-0.1.tar.gz,58554,58554,34,9362,9325,1332,167,5566,3635,145,811,46898,1
aiohttp,5486,5486,42,703,2195,4,2,475,718,1124,204,2959,0
aiohttp_proxies-0.8.36.tar.gz,36751,36751,24,4230,6468,501,101,2702,1826,1241,682,29698,1
aiohttp_proxies-0.8.37.tar.gz,6371,6371,24,2750,2539,501,122,1461,1109,1200,209,1769,1
aiohttp_proxies-0.8.38.tar.gz,64397,64397,27,1480,4533,4,157,709,2265,1276,1048,58938,1
aiohttp_proxies-0.8.39.tar.gz,7497,7497,26,157,2638,0,148,3,317,1203,179,5647,1
aiohttp_proxies-0.8.40.tar.gz,6179,6179,22,2521,2244,497,134,1124,1081,1200,267,1876,1
aiohttp_proxies-0.8.41.tar.gz,5832,5832,41,728,2101,4,131,294,695,1202,219,3287,1
aiohttp_proxies-0.8.42.tar.gz,31099,31099,32,2300,4867,0,169,1681,1386,1261,697,25905,1
aiohttp_proxies-0.8.43.tar.gz,29435,29435,26,1819,4667,0,73,1344,1281,1236,826,24675,1
aiohttp_proxies-0.8.44.tar.gz,3650,3650,15,643,553,0,147,329,345,1215,98,1516,1
aiohttp_proxies-0.8.45.tar.gz,46589,46589,46,2949,7178,8,154,2206,2167,1231,1135,39688,1
aiohttp_socks4-0.8.24.tar.gz,3507,3507,20,523,494,0,64,295,298,1200,95,1555,1
aiohttp_socks4-0.8.26.tar.gz,6863,6863,26,3002,2652,501,128,1676,1162,1215,229,1952,1
aiohttp_socks4-0.8.27.tar.gz,11770,11770,23,3977,5960,501,102,2692,1230,1202,284,5759,1
aiohttp_socks4-0.8.29.tar.gz,17172,17172,21,1484,3727,0,175,1116,424,1111,114,14232,1
aiohttp_socks4-0.8.30.tar.gz,45394,45394,27,1750,4212,0,131,1369,1064,1245,646,40939,1
aiohttp_socks4-0.8.31.tar.gz,47056,47056,26,1757,3155,0,246,1389,875,1161,352,43033,1
aiohttp_socks4-0.8.32.tar.gz,13976,13976,23,3923,5921,501,121,2614,1206,1207,281,8046,1
aiohttp_socks4-0.8.33.tar.gz,46562,46562,26,1824,6602,3,120,1242,1442,1228,802,41725,1
aiohttp_socks4-0.8.34.tar.gz,69739,69739,25,2273,4451,0,276,1626,1094,1247,332,65164,1
aiohttp_socks4-0.8.35.tar.gz,13187,13187,22,3271,4417,501,157,1779,1350,1206,271,7923,1
aiohttp_socks4-0.8.36.tar.gz,33480,33480,44,5090,6868,505,138,3242,2316,1244,510,25525,1
aiohttp_socks4-0.8.51.tar.gz,50007,50007,27,1645,4324,0,101,1259,1325,1247,783,45292,1
aiohttp_socks4-0.8.55.tar.gz,3300,3300,23,77,341,0,77,5,185,1264,100,1669,1
aiohttp_socks5-0.8.1.tar.gz,59983,59983,27,418,2453,0,40,335,770,1265,198,57375,1
aiohttp_socks5-0.8.2.tar.gz,21353,21353,26,1536,4243,0,25,1249,848,857,594,17780,1
aiohttp_socks5-0.8.3.tar.gz,6123,6123,25,2652,2541,501,14,1464,1072,1117,198,1757,1
aiohttp_socks5-0.8.4.tar.gz,5784,5784,17,709,2504,0,387,281,141,363,38,4574,1
aiohttp_socks5-0.8.5.tar.gz,3006,3006,25,15,253,0,5,5,193,1104,95,1604,1
aiohttp-asgi-connector,2877,2877,15,54,172,0,54,0,163,1111,95,1454,0
aiohttp-dashboard,30150,30150,27,2930,5270,8,316,2031,1658,1203,746,24188,0
aiohttpp-0.1.tar.gz,21883,21883,29,8039,8363,1318,159,4645,2913,81,560,12207,1
aiohttp-proxies-0.8.36.tar.gz,36751,36751,24,4230,6468,501,101,2702,1826,1241,682,29698,1
aiohttp-proxies-0.8.37.tar.gz,6371,6371,24,2750,2539,501,122,1461,1109,1200,209,1769,1
aiohttp-proxies-0.8.38.tar.gz,64397,64397,27,1480,4533,4,157,709,2265,1276,1048,58938,1
aiohttp-proxies-0.8.39.tar.gz,7497,7497,26,157,2638,0,148,3,317,1203,179,5647,1
aiohttp-proxies-0.8.40.tar.gz,6179,6179,22,2521,2244,497,134,1124,1081,1200,267,1876,1
aiohttp-proxies-0.8.41.tar.gz,5832,5832,41,728,2101,4,131,294,695,1202,219,3287,1
aiohttp-proxies-0.8.42.tar.gz,31099,31099,32,2300,4867,0,169,1681,1386,1261,697,25905,1
aiohttp-proxies-0.8.43.tar.gz,29435,29435,26,1819,4667,0,73,1344,1281,1236,826,24675,1
aiohttp-proxies-0.8.44.tar.gz,3650,3650,15,643,553,0,147,329,345,1215,98,1516,1
aiohttp-proxies-0.8.45.tar.gz,46589,46589,46,2949,7178,8,154,2206,2167,1231,1135,39688,1
aiohttp-proxy,7931,7931,57,1285,2142,0,175,1255,1925,1135,131,3310,0
aiohttp-proxy-connect-0.4.2.tar.gz,3880,3880,19,633,608,0,121,345,460,1214,96,1644,1
aiohttp-request,6647,6647,21,674,2854,0,178,316,450,1194,169,4340,0
aiohttp-socks,6421,6421,46,886,2879,4,14,700,2132,192,167,3212,0
aiohttp-socksx,27771,27771,50,1669,4269,12,208,401,1777,1152,497,23724,0
aiohttpx,6436,6436,13,3270,3026,0,165,3058,424,1110,157,1522,0
aiohypixel,43112,43112,20,2739,5891,497,171,1270,1497,83,499,39095,0
aioitertools,39161,39161,21,592,2622,0,21,509,509,98,96,37928,0
aiolo,10867,10867,31,1172,3705,0,106,690,723,82,125,9141,0
aionlib,4630,4630,17,17,820,0,0,4,85,361,104,4076,0
aioohttp-0.1.tar.gz,3214,3214,18,470,1873,8,21,372,265,13,308,2227,1
aiopaypal,3578,3578,17,708,553,0,202,337,350,1111,101,1477,0
aios3,7232,7232,17,883,1700,0,21,835,1913,1220,136,3107,0
aioshutdown,3504,3504,25,18,349,0,15,0,171,1184,124,2010,0
aiosignal,1157,1157,16,493,561,0,40,397,271,59,43,347,0
aiosync-0.0.1-py3-none-any.tar.gz,5584,5584,25,14,2304,0,4,7,94,465,47,4967,1
aiosync-0.0.3-py3-none-any.tar.gz,4610,4610,25,1275,1139,0,18,1240,202,1205,101,1844,1
aiosync-0.0.5-py3-none-any.tar.gz,3197,3197,24,14,262,0,4,4,144,1205,98,1742,1
aiosync-0.0.7-py3-none-any.tar.gz,1856,1856,15,14,1182,0,4,4,44,240,25,1539,1
aiosync-0.0.8-py3-none-any.tar.gz,12193,12193,27,3978,5677,501,33,2705,1418,852,484,6200,1
aiosyncapi,26173,26173,23,699,4422,0,117,212,1159,923,827,22935,0
aiot,38223,38223,33,1943,4945,499,25,726,1515,1119,607,33732,0
aiotelegram,8486,8486,17,2060,2754,0,253,1397,720,56,113,5947,0
aiothtp-0.1.tar.gz,12644,12644,26,7105,6872,1287,145,4154,2217,27,370,4444,1
aiotkinter,4857,4857,25,1331,760,0,124,820,739,1227,125,1822,0
aiotoolsbox-1.4.5.tar.gz,13920,13920,42,711,4603,0,53,658,1480,574,181,10974,1
aiottp-0.1.tar.gz,40139,40139,28,6939,7768,1294,139,3744,2538,101,555,31768,1
aiourllib,26657,26657,24,2214,5545,497,134,876,1541,512,690,22407,0
aiovast,12326,12326,23,650,3317,0,145,336,415,1138,181,10111,0
aiowowapi,4610,4610,21,374,1386,2,44,289,388,1186,109,2592,0
aiox,60904,60904,30,5568,7735,497,166,4029,2244,1167,770,52031,0
aira,54126,54126,26,2984,5484,497,191,1455,1867,121,685,49310,0
airduct,23118,23118,32,1567,3113,0,346,654,710,1136,193,20079,0
airduq-1.0.tar.gz,3364,3364,26,15,288,0,5,5,206,1219,105,1824,1
airnitro-1.0.tar.gz,26353,26353,27,3612,5831,497,37,2183,1751,1213,663,20009,1
airtable-python-wrapper,34848,34848,41,2206,4909,497,111,893,1338,899,603,30507,0
aisolver,10142,10142,42,514,4663,4,24,267,807,1127,283,7630,0
ai-solver-gen-1.0.tar.gz,10303,10303,42,1685,2914,11,32,1235,1186,1208,446,6185,1
ai-solver-images-1.0.tar.gz,5756,5756,20,237,2383,0,12,13,458,254,321,4698,1
ai-solver-py-1.0.tar.gz,3382,3382,17,71,291,0,48,10,184,1202,115,1823,1
ai-supporter,8495,8495,18,1161,3429,0,86,946,432,55,108,6868,0
ai-toolbox,19163,19163,24,1873,4890,497,8,686,1349,467,530,15626,0
aivirtualassistant,65667,65667,26,3243,5697,497,102,1566,2410,1205,1137,58750,0
ai-virtual-assistant,5375,5375,47,283,1699,3,4,195,414,1189,181,3389,0
ajpuamjad,7464,7464,22,1700,4334,497,26,511,995,44,444,4947,0
alabaster,7457,7457,20,1303,3003,0,27,1058,533,84,112,5643,0
alembic,2899,2899,12,20,896,0,20,0,20,64,20,2775,0
algokit,20322,20322,34,338,2597,0,68,31,351,1250,181,18441,0
algokit-arc-10.0.1.tar.gz,51793,51793,26,1356,2559,0,96,947,952,1252,312,48234,1
algokit-learn,7369,7369,26,732,1584,0,23,709,1914,1224,142,3357,0
algoliasearch,16788,16788,24,2129,5302,497,179,770,1309,60,528,13445,0
aliboostanpdf,33101,33101,26,2541,5466,497,30,1265,1531,693,564,28521,0
alisdkcore-1.0.0.tar.gz,21086,21086,23,4184,6154,501,44,2705,1715,1222,641,14258,1
aliyunsdkcore,11469,11469,45,2740,3313,4,397,1437,2699,1223,241,5468,0
alka10-0.1.3.tar.gz,29882,29882,24,930,3734,0,34,617,757,644,465,27365,1
alkana,3053,3053,23,14,245,0,4,5,169,1129,100,1646,0
allocutez,13424,13424,32,1286,1794,0,169,651,697,1233,230,10444,0
allow,11720,11720,46,797,4062,4,134,314,852,1240,218,8958,0
almost,4123,4123,24,689,664,0,120,325,418,1202,126,1932,0
altair,1713,1713,15,1352,1090,0,165,1140,254,48,32,74,0
altplotlib,58847,58847,43,3590,7405,502,278,1558,2599,985,832,52093,0
alvi,48101,48101,15,1003,3195,0,7,874,632,103,121,46364,0
alzynitro-1.0.tar.gz,6196,6196,17,366,2287,0,21,168,384,600,74,4949,1
am3,2087,2087,27,394,1443,0,179,199,776,82,44,807,0
amazon_pay,11373,11373,24,1573,1457,0,251,1102,3521,1365,188,4946,0
amazoned,11182,11182,25,1247,1336,0,98,929,3507,1368,189,5091,0
amazonfdndn-0.0.1-py3-none-any.tar.gz,22329,22329,28,4276,5356,501,100,2985,1304,1302,259,15878,1
amazonpxnau-0.0.1-py3-none-any.tar.gz,5505,5505,28,1956,2039,497,18,837,857,1275,183,1838,1
amazonpy,56266,56266,33,3285,5978,497,180,1752,1702,1177,676,50282,0
amazontrends,13789,13789,19,3003,2015,0,221,367,9019,1124,128,2930,0
amcheck,5841,5841,30,273,3811,0,47,214,854,89,114,4523,0
amkiller,31284,31284,25,1861,5021,497,90,586,1224,586,546,27755,0
aml-ds-pipeline-contrib-97.10.0.tar.gz,16430,16430,23,1526,2599,0,97,991,704,920,118,13600,1
aml-pipeline,7216,7216,16,895,2709,0,81,702,344,75,57,5957,0
amtool,43814,43814,36,2252,4926,497,131,960,1436,112,512,40166,0
amtplotlib-0.1.tar.gz,4962,4962,25,807,2671,8,62,741,164,26,208,3753,1
analiz,1114,1114,16,660,476,0,178,315,204,69,29,319,0
Analogy,23997,23997,36,1362,4704,4,96,724,1016,1224,325,20608,0
analytics-python,905,905,26,350,486,0,98,210,254,65,81,197,0
Analyze,58151,58151,32,25,2169,0,4,39,579,1284,250,55995,0
analyze-me-1.0.0.tar.gz,7677,7677,18,1483,2500,0,105,997,533,897,102,5043,1
analyzere,10730,10730,24,852,1453,0,172,806,3157,1365,173,5057,0
andex-maps-4.4.7.tar.gz,17295,17295,25,3457,4933,501,87,2003,1369,1296,239,11800,1
android-plus-new-5.3.1.tar.gz,22400,22400,28,5688,6604,501,199,3740,2130,1294,668,13868,1
android-prober,46631,46631,49,544,3783,4,6,305,934,97,207,45078,0
androidspyeye-2.5.tar.gz,9681,9681,25,783,2848,0,59,523,485,1279,208,7127,1
andystring,8712,8712,45,1247,2621,12,100,696,1200,1220,345,5139,0
aniso8601,0,0,0,0,0,0,0,0,0,0,0,0,0
ankpkg-1.0.0.tar.gz,7792,7792,45,728,3196,4,29,435,755,1277,291,5001,1
ankpkg1-1.0.0.tar.gz,50052,50052,27,418,2564,0,26,345,591,1203,241,47646,1
annotate,53514,53514,49,4544,8854,501,91,2994,1993,1146,831,45958,0
annotated-types,1211,1211,24,466,572,0,23,387,300,53,48,400,0
a-n-plus-b,1017,1017,15,594,614,0,15,523,274,62,43,100,0
AnsiColorsLib,10809,10809,27,1413,2184,0,95,819,763,1250,152,7730,0
anson,61818,61818,26,5601,8189,501,55,4179,1962,1150,700,53271,0
antchain_sdk_abcdjb-1.0.0.tar.gz,3540,3540,23,86,327,0,22,47,202,1275,116,1878,1
antchain_sdk_abcdjb1-1.0.0.tar.gz,4995,4995,22,1429,740,0,98,960,548,1274,139,1976,1
antchain_sdk_acc-1.0.0.tar.gz,25543,25543,43,2964,6405,505,65,1505,1733,1289,418,20028,1
antchain_sdk_account-1.0.0.tar.gz,9427,9427,23,135,2673,0,26,89,290,1294,197,7531,1
antchain_sdk_acm-1.0.0.tar.gz,21341,21341,35,339,8282,0,31,5685,231,649,144,14601,1
antchain_sdk_acs_iot-2.0.0.tar.gz,12145,12145,23,6788,4136,1002,179,3882,2459,1288,370,2965,1
antchain_sdk_baas_midway-2.0.0.tar.gz,52043,52043,21,1736,3706,0,125,986,1478,690,706,48058,1
antchain_sdk_baasplus-1.0.0.tar.gz,10634,10634,23,1224,2461,0,96,886,541,1282,238,7591,1
antchain_sdk_billing-1.0.0.tar.gz,42223,42223,24,1812,5057,0,46,1452,1007,793,621,38304,1
antchain_sdk_blockchain-1.0.0.tar.gz,12114,12114,31,1436,3446,0,47,1124,665,776,403,9099,1
antchain_sdk_cafecmdb-1.0.0.tar.gz,12915,12915,22,1843,4107,5,111,1112,1232,524,315,9616,1
antchain_sdk_cas-1.0.0.tar.gz,14777,14777,26,4164,4607,501,160,2456,1745,1282,374,8259,1
antchain_sdk_cat-1.0.0.tar.gz,8600,8600,27,4453,3144,505,114,2722,1817,1285,251,1906,1
antchain_sdk_commercial-1.0.0.tar.gz,30679,30679,21,984,3627,0,57,547,926,538,533,28078,1
antchain_sdk_commercialexternal-1.0.0.tar.gz,9452,9452,24,798,2548,0,43,556,487,1278,177,6911,1
antchain_sdk_das-1.0.0.tar.gz,7944,7944,26,4060,3359,501,135,2697,1235,1271,212,1893,1
antchain_sdk_dog-1.0.0.tar.gz,30177,30177,28,3228,4727,6,164,2087,2176,1216,782,23746,1
antchain_sdk_donpa-1.0.0.tar.gz,7834,7834,26,3515,2909,501,144,2006,1332,1295,231,2325,1
antchain_sdk_ebc-1.0.0.tar.gz,11141,11141,28,2101,3140,0,149,1480,818,1287,220,7187,1
antchain_sdk_ent-1.0.0.tar.gz,11133,11133,28,2097,3140,0,148,1480,814,1286,220,7185,1
antchain_sdk_gatewayx-1.0.0.tar.gz,9999,9999,30,4439,4466,501,115,3033,1515,1138,506,3191,1
antchain_sdk_goodschain-1.0.0.tar.gz,9860,9860,27,1837,4062,2,83,1422,893,644,411,6405,1
antchain_sdk_iam-1.0.0.tar.gz,21139,21139,21,2782,5601,41,105,1979,1376,1309,545,15784,1
antchain_sdk_industry-1.0.0.tar.gz,3492,3492,19,184,341,0,47,114,197,1270,112,1752,1
antchain_sdk_loadtestmock-1.0.0.tar.gz,8718,8718,47,2931,4181,505,32,1506,1546,1169,320,3640,1
antchain_sdk_mq-1.0.0.tar.gz,13069,13069,26,2393,4353,4,133,2146,739,1269,365,8413,1
antchain_sdk_ms-1.0.0.tar.gz,11722,11722,18,364,3617,0,46,56,679,275,483,10183,1
antchain_sdk_mytc-1.0.0.tar.gz,5888,5888,18,225,2923,0,24,10,419,136,324,4975,1
antchain_sdk_notification-1.0.0.tar.gz,14894,14894,22,1123,4068,0,63,758,780,506,513,12274,1
antchain_sdk_op-1.0.0.tar.gz,4813,4813,23,1311,739,0,96,922,471,1233,140,1951,1
