Section,Method,Rank,Feature,Total_in_Method
Opensnoop,FLAML (> 0.03),10,Sys_Access,11
Opensnoop,FLAML (> 0.03),11,Etc_DIR_Installation,11
Opensnoop,PSO,1,Total_Paths,9
Opensnoop,PSO,2,Total_File_Descriptor,9
Opensnoop,PSO,3,Python_Related_Keywords,9
Opensnoop,PSO,4,Install_Package_Keywords,9
Opensnoop,PSO,5,Root_DIR_Installation,9
Opensnoop,PSO,6,Temporary_DIR_Installation,9
Opensnoop,PSO,7,Home_DIR_Installation,9
Opensnoop,PSO,8,User_Access,9
Opensnoop,PSO,9,Sys_Access,9
Opensnoop,WOA,1,Total_Paths,8
Opensnoop,WOA,2,Total_File_Descriptor,8
Opensnoop,WOA,3,Python_Related_Keywords,8
Opensnoop,WOA,4,Root_DIR_Installation,8
Opensnoop,WOA,5,Temporary_DIR_Installation,8
Opensnoop,WOA,6,User_Access,8
Opensnoop,WOA,7,Sys_Access,8
Opensnoop,WOA,8,Other_DIR_Installation,8
Install,CORR (|r| < 0.5),1,Total_Dependency_Count,4
Install,CORR (|r| < 0.5),2,Total_Dependencies,4
Install,CORR (|r| < 0.5),3,Direct_Dependencies,4
Install,CORR (|r| < 0.5),4,Indirect_Dependencies,4
Install,ANOVA (Top 30%),1,Direct_Dependency_Count,2
Install,ANOVA (Top 30%),2,Direct_Dependencies,2
Install,FLAML (> 0.03),1,Direct_Dependencies,2
Install,FLAML (> 0.03),2,Indirect_Dependencies,2
Install,PSO,1,Total_Dependencies,3
Install,PSO,2,Direct_Dependency_Count,3
Install,PSO,3,Indirect_Dependencies,3
Install,WOA,1,Direct_Dependency_Count,4
Install,WOA,2,Direct_Dependencies,4
Install,WOA,3,Indirect_Dependency_Count,4
Install,WOA,4,Indirect_Dependencies,4
TCP,CORR (|r| < 0.5),1,Total_Entries,2
TCP,CORR (|r| < 0.5),2,State_Transition,2
TCP,ANOVA (Top 30%),1,Total_Entries,3
TCP,ANOVA (Top 30%),2,Remote_IP_Address_Access,3
TCP,ANOVA (Top 30%),3,Remote_Port_Access,3
TCP,FLAML (> 0.03),1,Python_Related_Process,5
TCP,FLAML (> 0.03),2,State_Transition,5
TCP,FLAML (> 0.03),3,Local_IP_Address_Access,5
TCP,FLAML (> 0.03),4,Local_Port_Access,5
TCP,FLAML (> 0.03),5,Remote_Port_Access,5
TCP,PSO,1,Total_Entries,5
TCP,PSO,2,Python_Related_Process,5
TCP,PSO,3,Local_IP_Address_Access,5
TCP,PSO,4,Local_Port_Access,5
TCP,PSO,5,Remote_Port_Access,5
TCP,WOA,1,Local_Port_Access,5
TCP,WOA,2,Unique_C-COMM,5
TCP,WOA,3,Python_Related_Process,5
TCP,WOA,4,Remote_Port_Access,5
TCP,WOA,5,Remote_IP_Address_Access,5
SysCall,CORR (|r| < 0.5),1,Unique_IO_Operations_List,4
SysCall,CORR (|r| < 0.5),2,Unique_IPC_Operations_List,4
SysCall,CORR (|r| < 0.5),3,Unique_Security_Operations_List,4
SysCall,CORR (|r| < 0.5),4,Unique_Miscellaneous_Operations_List,4
SysCall,ANOVA (Top 30%),1,Unique_Process_Management_Operations_List,6
SysCall,ANOVA (Top 30%),2,Unique_IO_Operations_List,6
SysCall,ANOVA (Top 30%),3,Unique_Time_Operations_List,6
SysCall,ANOVA (Top 30%),4,Unique_IPC_Operations_List,6
SysCall,ANOVA (Top 30%),5,Unique_Security_Operations_List,6
SysCall,ANOVA (Top 30%),6,Unique_Miscellaneous_Operations_List,6
SysCall,FLAML (> 0.03),1,Unique_IO_Operations_List,5
SysCall,FLAML (> 0.03),2,Unique_Time_Operations_List,5
SysCall,FLAML (> 0.03),3,Unique_IPC_Operations_List,5
SysCall,FLAML (> 0.03),4,Unique_Security_Operations_List,5
SysCall,FLAML (> 0.03),5,Unique_Miscellaneous_Operations_List,5
SysCall,PSO,1,Unique_Process_Management_Operations,7
SysCall,PSO,2,Unique_Process_Management_Operations_List,7
SysCall,PSO,3,Unique_IO_Operations_List,7
SysCall,PSO,4,Unique_Time_Operations_List,7
SysCall,PSO,5,Unique_IPC_Operations_List,7
SysCall,PSO,6,Unique_Security_Operations_List,7
SysCall,PSO,7,Unique_Miscellaneous_Operations_List,7
SysCall,WOA,1,Unique_Process_Management_Operations,6
SysCall,WOA,2,Unique_IO_Operations_List,6
SysCall,WOA,3,Unique_Time_Operations_List,6
SysCall,WOA,4,Unique_IPC_Operations_List,6
SysCall,WOA,5,Unique_Security_Operations_List,6
SysCall,WOA,6,Unique_Miscellaneous_Operations_List,6
Pattern,CORR (|r| < 0.5),1,Pattern_1,10
Pattern,CORR (|r| < 0.5),2,Pattern_2,10
Pattern,CORR (|r| < 0.5),3,Pattern_3,10
Pattern,CORR (|r| < 0.5),4,Pattern_4,10
Pattern,CORR (|r| < 0.5),5,Pattern_5,10
Pattern,CORR (|r| < 0.5),6,Pattern_6,10
Pattern,CORR (|r| < 0.5),7,Pattern_7,10
Pattern,CORR (|r| < 0.5),8,Pattern_8,10
Pattern,CORR (|r| < 0.5),9,Pattern_9,10
Pattern,CORR (|r| < 0.5),10,Pattern_10,10
Pattern,ANOVA (Top 30%),1,Pattern_1,4
Pattern,ANOVA (Top 30%),2,Pattern_3,4
Pattern,ANOVA (Top 30%),3,Pattern_6,4
Pattern,ANOVA (Top 30%),4,Pattern_7,4
Pattern,FLAML (> 0.03),1,Pattern_2,8
Pattern,FLAML (> 0.03),2,Pattern_3,8
Pattern,FLAML (> 0.03),3,Pattern_4,8
Pattern,FLAML (> 0.03),4,Pattern_5,8
Pattern,FLAML (> 0.03),5,Pattern_7,8
Pattern,FLAML (> 0.03),6,Pattern_8,8
Pattern,FLAML (> 0.03),7,Pattern_9,8
Pattern,FLAML (> 0.03),8,Pattern_10,8
Pattern,PSO,1,Pattern_1,5
Pattern,PSO,2,Pattern_4,5
Pattern,PSO,3,Pattern_10,5
Pattern,PSO,4,Pattern_5,5
Pattern,PSO,5,Pattern_9,5
Pattern,WOA,1,Pattern_3,6
Pattern,WOA,2,Pattern_4,6
Pattern,WOA,3,Pattern_5,6
Pattern,WOA,4,Pattern_8,6
Pattern,WOA,5,Pattern_2,6
Pattern,WOA,6,Pattern_10,6
